US_Fed_Rate,European_Central_Bank_Rate,China_Central_Bank_Rate,crypto_Solana,crypto_Bitcoin,crypto_Cardano,crypto_XRP,crypto_Ethereum,crypto_Dogecoin,stock_BABA,stock_MSTR,stock_COIN,stock_TSLA,stock_PDD,stock_PLTR,stock_BIDU,stock_JD,US_Fed_Rate_change,European_Central_Bank_Rate_change,China_Central_Bank_Rate_change,crypto_Solana_change,crypto_Bitcoin_change,crypto_Cardano_change,crypto_XRP_change,crypto_Ethereum_change,crypto_Dogecoin_change,stock_BABA_change,stock_MSTR_change,stock_COIN_change,stock_TSLA_change,stock_PDD_change,stock_PLTR_change,stock_BIDU_change,stock_JD_change
0.625,0.0,4.35,0.0,661.77,0.0,0.01,11.87,26.1284,86.61321658179874,19.932762055169967,0.0,13.370190484183174,0.0,0.0,165.86857169015067,24.312080292474658,0.25,-0.25,0.0,0.0,21.980000000000018,0.0,0.0,-2.4700000000000006,-1.770900000000001,-5.11891537620906,0.4955239068894137,0.0,0.759682382856095,0.0,0.0,-0.8438103085472335,0.4555124555315295
0.625,0.0,4.35,0.0,580.39,0.0,0.01,11.12,23.3366,93.8391845703125,20.081099891662596,0.0,15.954700088500976,0.0,0.0,175.77250213623046,25.51600742340088,0.0,-0.25,0.0,0.0,-81.38,0.0,0.0,-0.75,-2.7917999999999985,7.225967988513759,0.14833783649262955,0.0,2.5845096043178017,0.0,0.0,9.903930446079784,1.2039271309262212
0.625,0.0,4.35,0.0,605.17,0.0,0.01,12.44,23.2755,98.58798940558182,19.24731575815301,0.0,17.580736862985713,0.0,0.0,180.24578937731292,27.60480449074193,0.0,-0.25,0.0,0.0,24.779999999999973,0.0,0.0,1.3200000000000003,-0.06109999999999971,4.7488048352693255,-0.8337841335095852,0.0,1.6260367744847368,0.0,0.0,4.47328724108246,2.0887970673410514
0.875,0.0,4.3,0.0,642.18,0.0,0.01,12.11,22.4538,101.885428055473,18.879000207652215,0.0,17.210434955099355,0.0,0.0,172.65695588485053,29.12495696026346,0.25,-0.25,-0.04999999999999982,0.0,37.00999999999999,0.0,0.0,-0.33000000000000007,-0.8216999999999999,3.297438649891177,-0.368315550500796,0.0,-0.37030190788635764,0.0,0.0,-7.588833492462385,1.5201524695215305
0.875,0.0,4.3,0.0,725.47,0.0,0.01,10.02,22.2043,107.71226220381888,18.675631774099248,0.0,20.3172281164872,0.0,0.0,177.18315766987047,31.041515751888877,0.0,-0.25,0.0,0.0,83.29000000000008,0.0,0.0,-2.09,-0.24950000000000117,5.826834148345881,-0.20336843355296708,0.0,3.106793161387845,0.0,0.0,4.526201785019936,1.916558791625416
0.875,0.0,4.3,0.0,823.94,0.0,0.01,7.84,22.0628,116.57834833318536,18.588681827891957,0.0,21.10160610892556,0.0,0.0,185.2159097844904,36.59131917086515,0.0,-0.25,0.0,0.0,98.47000000000003,0.0,0.0,-2.1799999999999997,-0.14150000000000063,8.86608612936648,-0.0869499462072909,0.0,0.7843779924383583,0.0,0.0,8.032752114619939,5.549803418976271
1.125,0.0,4.3,0.0,913.56,0.0,0.01,10.15,21.3669,131.87489492242986,18.45618178627708,0.0,24.38690913807262,0.0,0.0,180.58636474609375,37.53948818553578,0.25,-0.25,0.0,0.0,89.61999999999989,0.0,0.0,2.3100000000000005,-0.6958999999999982,15.2965465892445,-0.13250004161487539,0.0,3.2853030291470624,0.0,0.0,-4.629545038396657,0.9481690146706327
1.125,0.0,4.3,0.0,1058.02,0.0,0.01,12.27,20.7545,144.84943542480468,18.23404994010925,0.0,21.920333194732667,0.0,0.0,192.6964988708496,39.52974987030029,0.0,-0.25,0.0,0.0,144.46000000000004,0.0,0.0,2.119999999999999,-0.6124000000000009,12.974540502374822,-0.2221318461678301,0.0,-2.4665759433399543,0.0,0.0,12.11013412475586,1.990261684764512
1.125,0.0,4.3,0.0,1131.08,0.0,0.01,34.24,23.6324,156.9892518416695,12.905739245207414,0.0,23.391681007716965,0.0,0.0,224.67261140242863,40.808407327403195,0.0,-0.25,0.0,0.0,73.05999999999995,0.0,0.0,21.970000000000002,2.8779000000000003,12.139816416864818,-5.3283106949018375,0.0,1.4713478129842983,0.0,0.0,31.97611253157902,1.2786574571029021
1.125,0.0,4.3,0.0,1202.24,0.0,0.04,49.84,47.4334,167.788818359375,12.725400066375732,0.0,23.857133197784425,0.0,0.0,236.0605026245117,39.4886474609375,0.0,-0.25,0.0,0.0,71.16000000000008,0.0,0.03,15.600000000000001,23.801,10.7995665177055,-0.18033917883168193,0.0,0.4654521900674595,0.0,0.0,11.387891222083084,-1.319759866465695
1.125,0.0,4.3,0.0,1885.49,0.0,0.22,123.69,176.119,171.9722574407404,13.449772748080166,0.0,22.97887880151922,0.0,0.0,256.5731818459251,36.19345404885032,0.0,-0.25,0.0,0.0,683.25,0.0,0.18,73.85,128.6856,4.183439081365407,0.724372681704434,0.0,-0.8782543962652056,0.0,0.0,20.51267922141338,-3.2951934120871798
1.125,0.0,4.3,0.0,2629.26,0.0,0.29,311.11,315.9441,179.25636872791108,13.479285785130092,0.0,20.679460071382067,0.0,0.0,241.32476080031623,36.641161600748696,0.0,-0.25,0.0,0.0,743.7700000000002,0.0,0.06999999999999998,187.42000000000002,139.8251,7.284111287170674,0.029513037049925472,0.0,-2.299418730137152,0.0,0.0,-15.248421045608865,0.4477075518983753
1.375,0.0,4.3,0.0,2514.55,0.0,0.2,225.15,201.3216,167.67775650024413,13.33784999847412,0.0,21.522733211517338,0.0,0.0,234.6495002746582,37.49702682495117,0.25,-0.25,0.0,0.0,-114.71000000000004,0.0,-0.08999999999999997,-85.96000000000001,-114.6225,-11.578612227666952,-0.1414357866559719,0.0,0.8432731401352704,0.0,0.0,-6.675260525658018,0.8558652242024749
1.375,0.0,4.3,0.0,3843.35,0.0,0.19,298.94,181.9568,184.34447224934897,13.739857219514391,0.0,22.572222210112074,0.0,0.0,251.88333275204613,43.42802774338495,0.0,-0.25,0.0,0.0,1328.7999999999997,0.0,-0.010000000000000009,73.78999999999999,-19.364800000000002,16.66671574910484,0.40200722104027165,0.0,1.049488998594736,0.0,0.0,17.23383247738792,5.9310009184337815
1.375,0.0,4.3,0.0,4065.66,0.0,0.2,293.48,133.3366,178.77088125128495,13.498526372407612,0.0,22.385157936497738,0.0,0.0,237.1352643464741,43.00559696398283,0.0,-0.25,0.0,0.0,222.30999999999995,0.0,0.010000000000000009,-5.4599999999999795,-48.62019999999998,-5.57359099806402,-0.241330847106779,0.0,-0.18706427361433597,0.0,0.0,-14.748068405572042,-0.42243077940212004
1.625,0.0,4.3,0.0,5319.5,0.03,0.23,306.02,106.6888,182.11314101446243,13.136999993097216,0.0,21.06555548168364,0.0,0.0,249.3866715204148,40.66159075782413,0.25,-0.25,0.0,0.0,1253.8400000000001,0.0,0.03,12.539999999999964,-26.647800000000004,3.3422597631774806,-0.361526379310396,0.0,-1.319602454814099,0.0,0.0,12.25140717394072,-2.344006206158703
1.625,0.0,4.3,0.0,7765.5,0.03,0.23,356.27,146.4675,169.22594124930245,12.95923814319429,0.0,19.31819034758068,0.0,0.0,231.59285699753536,36.200328100295295,0.0,-0.25,0.0,0.0,2446.0,0.0,0.0,50.25,39.7787,-12.887199765159977,-0.17776184990292698,0.0,-1.7473651341029601,0.0,0.0,-17.793814522879444,-4.4612626575288346
1.875,0.0,4.3,0.0,15179.18,0.31,0.78,633.55,517.3938,187.65993014248937,12.990636392073196,0.0,19.323485027660023,0.0,0.0,255.2327284379439,34.30263744701039,0.25,-0.25,0.0,0.0,7413.68,0.28,0.55,277.28,370.9263000000001,18.43398889318692,0.03139824887890619,0.0,0.005294680079344971,0.0,0.0,23.63987144040854,-1.8976906532849043
2.125,0.0,4.3,0.0,13096.25,0.75,1.89,1096.37,960.3503,195.1709529331752,13.129000027974447,0.0,22.37336494809105,0.0,0.0,259.83428882417223,37.65672247750418,0.25,-0.25,0.0,0.0,-2082.9300000000003,0.44,1.1099999999999999,462.81999999999994,442.9564999999999,7.511022790685814,0.13836363590125167,0.0,3.049879920431028,0.0,0.0,4.6015603862283285,3.354085030493792
2.125,0.0,4.3,0.0,9449.41,0.38,0.98,874.8,574.5497,183.0894644601005,13.395285697210404,0.0,20.798317228044784,24.097500324249268,0.0,258.7780972435361,34.94678097679501,0.0,-0.25,0.0,0.0,-3646.84,-0.37,-0.9099999999999999,-221.56999999999994,-385.8005999999999,-12.0814884730747,0.2662856692359572,0.0,-1.5750477200462676,0.0,0.0,-1.0561915806361526,-2.7099415007091707
